Timer	HMI_speed_318	ATC_AMmode_710	ATC_RMmode_710	ATC_CMmode_710	ATC_ATBmode_710	ATC_arrsig_710	ATC_deparsig_710
18:30:07	1	5	1	0	0	0	0
18:30:10	1	5	1	0	0	0	0
18:30:13	1	5	1	0	0	0	0
18:30:16	1	5	1	0	0	0	0
18:30:19	1	5	1	0	0	0	0
18:30:22	1	5	1	0	0	0	0
18:30:25	1	5	1	0	0	0	0
18:30:28	1	5	1	0	0	0	0
18:30:31	1	5	1	0	0	0	0
18:30:34	1	5	1	0	0	0	1
18:30:37	1	5	1	0	0	0	1
18:30:40	1	5	1	0	0	0	1
18:30:43	1	5	1	0	0	0	1
18:30:47	1	5	1	0	0	0	1
18:30:50	1	5	1	0	0	0	1
18:30:53	1	5	1	0	0	0	1
18:30:56	1	5	1	0	0	0	0
18:30:59	1	5	1	0	0	0	0
18:31:02	1	5	1	0	0	0	0
18:31:05	2	5	0	0	1	0	0
18:31:08	2	5	0	0	1	0	0
18:31:11	2	5	0	0	1	0	0
18:31:14	2	5	0	0	1	0	0
18:31:17	2	5	0	0	1	0	0
18:31:20	2	5	0	0	1	0	0
18:31:23	2	5	0	0	1	0	0
18:31:26	2	5	0	0	1	0	0
18:31:30	2	5	0	0	1	0	0
18:31:33	1	5	1	0	0	0	0
18:31:36	1	5	1	0	0	0	0
18:31:39	1	5	1	0	0	0	0
18:31:42	1	5	1	0	0	0	0
18:31:45	1	5	1	0	0	0	0
18:31:48	1	5	1	0	0	0	0
18:31:51	1	5	1	0	0	0	0
18:31:54	1	5	1	0	0	0	0
18:31:57	1	5	1	0	0	0	0
18:32:00	1	5	1	0	0	0	0
18:32:03	1	5	1	0	0	0	0
18:32:06	1	5	1	0	0	0	0
18:32:10	1	5	1	0	0	0	0
18:32:13	1	5	1	0	0	0	0
18:32:17	1	5	1	0	0	0	0
18:32:20	1	5	1	0	0	0	0
18:32:23	1	5	1	0	0	0	0
18:32:26	1	5	1	0	0	0	0
18:32:29	1	5	1	0	0	0	0
18:32:32	1	5	1	0	0	0	0
18:32:35	1	5	1	0	0	0	0
18:32:38	1	5	1	0	0	0	0
18:32:41	1	5	1	0	0	0	0
18:32:44	1	5	1	0	0	0	0
18:32:47	1	5	1	0	0	0	0
18:32:50	1	5	1	0	0	0	0
18:32:54	1	5	1	0	0	0	0
18:32:57	1	5	1	0	0	0	0
18:33:00	1	5	1	0	0	0	0
18:33:03	1	5	1	0	0	0	0
18:33:06	1	5	1	0	0	0	0
18:33:09	1	5	1	0	0	0	0
18:33:12	1	5	1	0	0	0	0
18:33:15	1	5	1	0	0	0	0
18:33:18	1	5	1	0	0	0	0
18:33:21	1	5	1	0	0	0	0
18:33:24	1	5	1	0	0	0	0
18:33:27	1	5	1	0	0	0	0
18:33:30	1	5	1	0	0	0	0
18:33:33	1	5	1	0	0	0	0
18:33:37	1	5	1	0	0	0	0
18:33:40	1	5	1	0	0	0	1
18:33:43	1	5	1	0	0	0	1
18:33:46	1	5	1	0	0	0	1
18:33:49	1	5	1	0	0	0	1
18:33:52	1	5	1	0	0	0	1
18:33:55	1	5	1	0	0	0	1
18:33:58	1	5	1	0	0	0	1
18:34:01	1	5	1	0	0	0	0
18:34:04	1	5	1	0	0	0	0
18:34:07	2	5	0	0	1	0	0
18:34:10	2	5	0	0	1	0	0
18:34:13	2	5	0	0	1	0	0
18:34:16	2	5	0	0	1	0	0
18:34:20	2	5	0	0	1	0	0
18:34:23	2	5	0	0	1	0	0
18:34:26	2	5	0	0	1	0	0
18:34:29	2	5	0	0	1	0	0
18:34:32	2	5	0	0	1	0	0
18:34:35	1	5	1	0	0	0	0
18:34:38	2	5	0	0	1	0	0
18:34:41	2	5	0	0	1	0	0
18:34:44	2	5	0	0	1	0	0
18:34:47	2	5	0	0	1	0	0
18:34:50	2	5	0	0	1	0	0
18:34:53	2	5	0	0	1	0	0
18:34:56	2	5	0	0	1	0	0
18:34:59	2	5	0	0	1	0	0
18:35:03	2	5	0	0	1	0	0
18:35:06	1	5	1	0	0	0	0
18:35:09	1	5	1	0	0	0	0
18:35:12	1	5	1	0	0	0	0
18:35:15	1	5	1	0	0	0	0
18:35:18	1	5	1	0	0	0	0
18:35:21	1	5	1	0	0	0	0
18:35:24	1	5	1	0	0	0	0
18:35:27	1	5	1	0	0	0	0
18:35:30	1	5	1	0	0	0	0
18:35:33	1	5	1	0	0	0	0
18:35:36	1	5	1	0	0	0	0
18:35:39	1	5	1	0	0	0	0
18:35:42	1	5	1	0	0	0	0
18:35:46	1	5	1	0	0	0	0
18:35:49	1	5	1	0	0	0	0
18:35:52	1	5	1	0	0	0	0
18:35:55	1	5	1	0	0	0	0
18:35:58	1	5	1	0	0	0	0
18:36:01	1	5	1	0	0	0	0
18:36:04	1	5	1	0	0	0	0
18:36:07	1	5	1	0	0	0	0
18:36:10	1	5	1	0	0	0	0
18:36:13	1	5	1	0	0	0	0
18:36:16	1	5	1	0	0	0	0
18:36:19	1	5	1	0	0	0	0
18:36:22	1	5	1	0	0	0	0
18:36:26	1	5	1	0	0	0	0
18:36:29	1	5	1	0	0	0	0
18:36:32	1	5	1	0	0	0	0
18:36:35	1	5	1	0	0	0	0
18:36:38	1	5	1	0	0	0	0
18:36:41	1	5	1	0	0	0	0
18:36:44	1	5	1	0	0	0	1
18:36:47	1	5	1	0	0	0	1
18:36:50	1	5	1	0	0	0	1
18:36:53	1	5	1	0	0	0	1
18:36:56	1	5	1	0	0	0	1
18:36:59	1	5	1	0	0	0	1
18:37:02	1	5	1	0	0	0	1
18:37:05	1	5	1	0	0	0	0
18:37:09	1	5	1	0	0	0	0
18:37:12	1	5	1	0	0	0	0
18:37:15	2	5	0	0	1	0	0
18:37:18	2	5	0	0	1	0	0
18:37:21	2	5	0	0	1	0	0
18:37:24	2	5	0	0	1	0	0
18:37:27	2	5	0	0	1	0	0
18:37:30	2	5	0	0	1	0	0
18:37:33	2	5	0	0	1	0	0
18:37:36	2	5	0	0	1	0	0
18:37:39	1	5	1	0	0	0	0
18:37:42	1	5	1	0	0	0	0
18:37:45	1	5	1	0	0	0	0
18:37:48	1	5	1	0	0	0	0
18:37:52	1	5	1	0	0	0	0
18:37:55	1	5	1	0	0	0	0
18:37:58	1	5	1	0	0	0	0
18:38:01	1	5	1	0	0	0	0
18:38:04	1	5	1	0	0	0	0
18:38:07	1	5	1	0	0	0	0
18:38:10	1	5	1	0	0	0	0
18:38:13	1	5	1	0	0	0	0
18:38:16	1	5	1	0	0	0	0
18:38:19	1	5	1	0	0	0	0
18:38:22	1	5	1	0	0	0	0
18:38:25	1	5	1	0	0	0	0
18:38:28	1	5	1	0	0	0	0
18:38:31	1	5	1	0	0	0	0
18:38:35	1	5	1	0	0	0	0
18:38:38	1	5	1	0	0	0	0
18:38:41	1	5	1	0	0	0	1
18:38:44	1	5	1	0	0	0	1
18:38:47	1	5	1	0	0	0	1
18:38:50	1	5	1	0	0	0	1
18:38:53	1	5	1	0	0	0	1
18:38:56	1	5	1	0	0	0	1
18:38:59	1	5	1	0	0	0	1
18:39:02	1	5	1	0	0	0	0
18:39:05	1	5	1	0	0	0	0
18:39:08	1	5	1	0	0	0	0
18:39:11	2	5	0	0	1	0	0
18:39:14	2	5	0	0	1	0	0
18:39:18	2	5	0	0	1	0	0
18:39:21	2	5	0	0	1	0	0
18:39:24	2	5	0	0	1	0	0
18:39:27	2	5	0	0	1	0	0
18:39:30	2	5	0	0	1	0	0
18:39:33	1	5	1	0	0	0	0
18:39:36	1	5	1	0	0	0	0
18:39:39	1	5	1	0	0	0	0
18:39:42	1	5	1	0	0	0	0
18:39:45	1	5	1	0	0	0	0
18:39:48	1	5	1	0	0	0	0
18:39:51	1	5	1	0	0	0	0
18:39:54	1	5	1	0	0	0	0
18:39:57	1	5	1	0	0	0	0
18:40:01	1	5	1	0	0	0	0
18:40:04	1	5	1	0	0	0	0
18:40:07	1	5	1	0	0	0	0
18:40:10	1	5	1	0	0	0	0
